transaction_id,timestamp,amount,merchant_category,customer_age,account_age_days,transaction_count_24h,region,device_type,is_international,is_fraud
T000000,2025-01-01 00:00:00,64.1920256034429,Retail,29,324,4,West,Tablet,1,0
T000001,2025-01-01 01:00:00,26.727722275388707,Travel,32,1921,7,North,Mobile,1,1
T000002,2025-01-01 02:00:00,49.2855924403834,Services,62,597,5,East,Mobile,0,0
T000003,2025-01-01 03:00:00,36.76620820548807,Food,62,3279,4,West,Desktop,1,0
T000004,2025-01-01 04:00:00,29.518842589917117,Food,37,579,7,West,Mobile,0,0
T000005,2025-01-01 05:00:00,163.02396013383574,Retail,72,498,5,West,Mobile,0,0
T000006,2025-01-01 06:00:00,178.32980285516652,Online,55,45,3,East,Mobile,0,0
T000007,2025-01-01 07:00:00,54.80355744281475,Food,72,2051,9,South,Mobile,1,1
T000008,2025-01-01 08:00:00,2.8189308653062892,Services,28,1889,5,South,Mobile,0,0
T000009,2025-01-01 09:00:00,100.58784609215364,Services,41,1966,2,East,Desktop,0,0
T000010,2025-01-01 10:00:00,106.1296286857231,Online,68,1886,2,South,Mobile,1,0
T000011,2025-01-01 11:00:00,112.92836107467049,Retail,53,608,1,South,Mobile,1,0
T000012,2025-01-01 12:00:00,209.3184823988963,Retail,44,770,5,South,Mobile,0,0
T000013,2025-01-01 13:00:00,94.57698004664286,Online,74,3105,5,South,Tablet,1,0
T000014,2025-01-01 14:00:00,130.33207867255214,Travel,62,510,5,North,Desktop,1,0
T000015,2025-01-01 15:00:00,71.19684129610603,Retail,41,1586,3,West,Mobile,0,0
T000016,2025-01-01 16:00:00,123.41579794921803,Services,36,1950,4,East,Mobile,1,0
T000017,2025-01-01 17:00:00,12.755182341933038,Services,55,2406,1,South,Desktop,1,0
T000018,2025-01-01 18:00:00,21.5483710584203,Retail,51,1001,4,West,Mobile,0,0
T000019,2025-01-01 19:00:00,127.78706241030623,Services,34,2321,4,North,Tablet,0,0
T000020,2025-01-01 20:00:00,49.162106196057515,Retail,46,3404,4,North,Desktop,0,0
T000021,2025-01-01 21:00:00,59.64507359475575,Online,46,725,2,South,Desktop,0,1
T000022,2025-01-01 22:00:00,54.62998938688813,Retail,49,2528,3,South,Desktop,0,0
T000023,2025-01-01 23:00:00,111.94642874053214,Services,33,2364,4,South,Mobile,0,0
T000024,2025-01-02 00:00:00,57.07000968176065,Online,78,785,5,North,Desktop,0,0
T000025,2025-01-02 01:00:00,19.116957953942425,Travel,23,2043,2,North,Tablet,1,0
T000026,2025-01-02 02:00:00,75.97875956646826,Online,69,716,4,West,Mobile,0,0
T000027,2025-01-02 03:00:00,77.84541198171088,Online,57,1793,5,West,Mobile,1,0
T000028,2025-01-02 04:00:00,45.80218825407706,Food,41,3261,3,South,Mobile,0,0
T000029,2025-01-02 05:00:00,38.511991363080504,Online,28,596,6,West,Desktop,0,0
T000030,2025-01-02 06:00:00,27.598683073708475,Services,30,2774,4,East,Mobile,0,0
T000031,2025-01-02 07:00:00,6.007060529008095,Retail,29,1062,4,North,Mobile,1,0
T000032,2025-01-02 08:00:00,145.17640762079452,Online,63,1115,5,East,Mobile,1,1
T000033,2025-01-02 09:00:00,39.55926948031485,Online,58,3581,3,North,Mobile,0,0
T000034,2025-01-02 10:00:00,404.46785595232814,Online,71,3545,8,South,Mobile,1,0
T000035,2025-01-02 11:00:00,48.40447394796771,Retail,35,69,5,North,Mobile,0,0
T000036,2025-01-02 12:00:00,72.50598540058378,Food,64,3502,3,West,Mobile,0,0
T000037,2025-01-02 13:00:00,148.82584730522439,Food,66,939,5,West,Desktop,1,0
T000038,2025-01-02 14:00:00,75.1188915302493,Retail,37,436,3,South,Tablet,1,0
T000039,2025-01-02 15:00:00,14.228155179920435,Online,45,269,7,North,Desktop,0,0
T000040,2025-01-02 16:00:00,181.7433771002446,Retail,36,191,9,West,Desktop,1,0
T000041,2025-01-02 17:00:00,49.42987720169934,Food,24,732,8,North,Mobile,1,0
T000042,2025-01-02 18:00:00,29.810228429991287,Food,38,1973,5,South,Desktop,0,0
T000043,2025-01-02 19:00:00,177.24339887439422,Food,78,41,4,East,Mobile,1,0
T000044,2025-01-02 20:00:00,28.307171702130617,Online,60,2262,3,West,Mobile,0,0
T000045,2025-01-02 21:00:00,31.494748028406686,Retail,40,522,5,West,Desktop,0,0
T000046,2025-01-02 22:00:00,61.336847343722326,Travel,43,3399,2,North,Mobile,0,0
T000047,2025-01-02 23:00:00,190.75997075175283,Travel,46,2075,8,North,Mobile,0,0
T000048,2025-01-03 00:00:00,110.06026764628622,Travel,67,536,1,East,Mobile,0,0
T000049,2025-01-03 01:00:00,134.98206195273866,Retail,30,57,6,East,Mobile,1,0
T000050,2025-01-03 02:00:00,131.47354354074793,Online,65,148,2,East,Mobile,1,0
T000051,2025-01-03 03:00:00,159.31686896858469,Food,54,3531,4,North,Mobile,0,0
T000052,2025-01-03 04:00:00,45.735327718918356,Online,41,1116,2,West,Mobile,1,0
